freq	power	ampl	char					
4.38E-01	1.31E-36	1.14E-18	7.57E-19					
4.45E-01	9.59E-37	9.79E-19	6.54E-19					
4.53E-01	7.55E-37	8.69E-19	5.84E-19					
4.60E-01	6.50E-37	8.06E-19	5.47E-19					
4.67E-01	6.34E-37	7.96E-19	5.44E-19					
4.75E-01	7.51E-37	8.67E-19	5.97E-19					
4.83E-01	1.28E-36	1.13E-18	7.87E-19					
4.91E-01	6.71E-36	2.59E-18	1.81E-18					
4.99E-01	6.49E-36	2.55E-18	1.80E-18					
5.07E-01	4.49E-37	6.70E-19	4.77E-19					
5.15E-01	1.19E-37	3.44E-19	2.47E-19					
5.23E-01	4.90E-38	2.21E-19	1.60E-19					
5.32E-01	2.75E-38	1.66E-19	1.21E-19					
5.40E-01	2.14E-38	1.46E-19	1.08E-19					
5.49E-01	2.76E-38	1.66E-19	1.23E-19					
5.58E-01	1.51E-37	3.88E-19	2.90E-19					
5.67E-01	5.59E-38	2.36E-19	1.78E-19					
5.76E-01	4.59E-39	6.77E-20	5.14E-20					
5.86E-01	1.17E-39	3.42E-20	2.62E-20					
5.95E-01	4.32E-40	2.08E-20	1.60E-20					
6.05E-01	1.93E-40	1.39E-20	1.08E-20					
6.15E-01	9.65E-41	9.82E-21	7.70E-21					
6.25E-01	5.17E-41	7.19E-21	5.69E-21					
6.35E-01	2.92E-41	5.40E-21	4.30E-21					
6.45E-01	1.70E-41	4.13E-21	3.32E-21					
6.56E-01	1.02E-41	3.20E-21	2.59E-21					
6.67E-01	6.28E-42	2.51E-21	2.05E-21					
6.77E-01	3.93E-42	1.98E-21	1.63E-21					
6.88E-01	2.49E-42	1.58E-21	1.31E-21					
7.00E-01	1.60E-42	1.27E-21	1.06E-21					
7.11E-01	1.04E-42	1.02E-21	8.62E-22					
7.23E-01	6.89E-43	8.30E-22	7.05E-22					
7.34E-01	4.59E-43	6.78E-22	5.81E-22					
7.46E-01	3.10E-43	5.56E-22	4.81E-22					
7.58E-01	2.11E-43	4.60E-22	4.00E-22					
7.71E-01	1.46E-43	3.82E-22	3.35E-22					
7.83E-01	1.02E-43	3.19E-22	2.82E-22					
7.96E-01	7.20E-44	2.68E-22	2.39E-22					
8.09E-01	5.16E-44	2.27E-22	2.04E-22					
8.22E-01	3.76E-44	1.94E-22	1.76E-22					
8.35E-01	2.78E-44	1.67E-22	1.53E-22					
8.49E-01	2.09E-44	1.45E-22	1.33E-22					
8.63E-01	1.60E-44	1.27E-22	1.18E-22					
8.77E-01	1.25E-44	1.12E-22	1.05E-22					
8.91E-01	9.90E-45	9.95E-23	9.39E-23					
9.06E-01	8.00E-45	8.95E-23	8.51E-23					
9.20E-01	6.59E-45	8.12E-23	7.79E-23					
9.35E-01	5.53E-45	7.44E-23	7.20E-23					
9.51E-01	4.73E-45	6.88E-23	6.71E-23					
9.66E-01	4.13E-45	6.42E-23	6.31E-23					
9.82E-01	3.66E-45	6.05E-23	6.00E-23					
9.98E-01	3.31E-45	5.75E-23	5.75E-23					
1.01E+00	3.05E-45	5.52E-23	5.56E-23					
1.03E+00	2.86E-45	5.35E-23	5.43E-23					
1.05E+00	2.74E-45	5.23E-23	5.35E-23					
1.06E+00	2.67E-45	5.17E-23	5.33E-23					
1.08E+00	2.67E-45	5.17E-23	5.37E-23					
1.10E+00	2.73E-45	5.23E-23	5.48E-23					
1.12E+00	2.88E-45	5.37E-23	5.67E-23					
1.14E+00	3.15E-45	5.61E-23	5.98E-23					
1.15E+00	3.58E-45	5.98E-23	6.43E-23					
1.17E+00	4.30E-45	6.56E-23	7.10E-23					
1.19E+00	5.57E-45	7.47E-23	8.15E-23					
1.21E+00	8.07E-45	8.98E-23	9.88E-23					
1.23E+00	1.40E-44	1.19E-22	1.31E-22					
1.25E+00	3.59E-44	1.89E-22	2.12E-22					
1.27E+00	3.75E-43	6.12E-22	6.90E-22					
1.29E+00	1.58E-43	3.98E-22	4.52E-22					
1.31E+00	1.94E-44	1.39E-22	1.60E-22					
1.33E+00	6.55E-45	8.09E-23	9.35E-23					
1.36E+00	3.07E-45	5.54E-23	6.45E-23					
